node_id,node_type,country,sector,commodity,total_import_usd,import_share_pct,vulnerability_score,hhi,top_source_country,top_source_share_pct,country_risk_fsi,country_risk_source,commodity_importance,commodity_imp_source,chokepoint_weight,chokepoint_source,lat,lon,global_trade_share_pct,representative_companies,n_companies,static_risk_score,score_methodology,risk_tier
TN_AGR_TUR,trade,Turkey,Agri,Agri,843.88,0.72,0.0011,0.2076,Indonesia,36.64,0.6767,Fund for Peace FSI 2024 (normalized /120),0.8247,Derived from ISB import value + HHI (2024),0.0,,,,,,0,0.3684,40% ISB trade vulnerability + 30% FSI 2024 country risk + 20% ISB-derived commodity importance + 10% UNCTAD chokepoint weight,Medium
TN_AGR_SPA,trade,Spain,Agri,Agri,547.12,0.47,0.0007,0.2076,Indonesia,36.64,0.3625,Fund for Peace FSI 2024 (normalized /120),0.8247,Derived from ISB import value + HHI (2024),0.0,,,,,,0,0.274,40% ISB trade vulnerability + 30% FSI 2024 country risk + 20% ISB-derived commodity importance + 10% UNCTAD chokepoint weight,Low
TN_AGR_GER,trade,Germany,Agri,Agri,472.65,0.4,0.0006,0.2076,Indonesia,36.64,0.205,Fund for Peace FSI 2024 (normalized /120),0.8247,Derived from ISB import value + HHI (2024),0.0,,,,,,0,0.2267,40% ISB trade vulnerability + 30% FSI 2024 country risk + 20% ISB-derived commodity importance + 10% UNCTAD chokepoint weight,Low
TN_AGR_BUL,trade,Bulgaria,Agri,Agri,401.1,0.34,0.0005,0.2076,Indonesia,36.64,0.4317,Fund for Peace FSI 2024 (normalized /120),0.8247,Derived from ISB import value + HHI (2024),0.0,,,,,,0,0.2946,40% ISB trade vulnerability + 30% FSI 2024 country risk + 20% ISB-derived commodity importance + 10% UNCTAD chokepoint weight,Low
TN_AGR_FRA,trade,France,Agri,Agri,352.67,0.3,0.0004,0.2076,Indonesia,36.64,0.24,Fund for Peace FSI 2024 (normalized /120),0.8247,Derived from ISB import value + HHI (2024),0.0,,,,,,0,0.2371,40% ISB trade vulnerability + 30% FSI 2024 country risk + 20% ISB-derived commodity importance + 10% UNCTAD chokepoint weight,Low
TN_AGR_IRA,trade,Iraq,Agri,Agri,323.24,0.28,0.0004,0.2076,Indonesia,36.64,0.7617,Fund for Peace FSI 2024 (normalized /120),0.8247,Derived from ISB import value + HHI (2024),0.0,,,,,,0,0.3936,40% ISB trade vulnerability + 30% FSI 2024 country risk + 20% ISB-derived commodity importance + 10% UNCTAD chokepoint weight,Medium
TN_AGR_SAU,trade,Saudi Arabia,Agri,Agri,89.95,0.08,0.0004,0.2076,Indonesia,36.64,0.5442,Fund for Peace FSI 2024 (normalized /120),0.8247,Derived from ISB import value + HHI (2024),0.0,,,,,,0,0.3284,40% ISB trade vulnerability + 30% FSI 2024 country risk + 20% ISB-derived commodity importance + 10% UNCTAD chokepoint weight,Medium
TN_AGR_VIE,trade,Viet Nam,Agri,Agri,311.5,0.27,0.0004,0.2076,Indonesia,36.64,0.6175,Fund for Peace FSI 2024 (normalized /120),0.8247,Derived from ISB import value + HHI (2024),0.0,,,,,,0,0.3504,40% ISB trade vulnerability + 30% FSI 2024 country risk + 20% ISB-derived commodity importance + 10% UNCTAD chokepoint weight,Medium
TN_AGR_ITA,trade,Italy,Agri,Agri,258.39,0.22,0.0003,0.2076,Indonesia,36.64,0.355,Fund for Peace FSI 2024 (normalized /120),0.8247,Derived from ISB import value + HHI (2024),0.0,,,,,,0,0.2716,40% ISB trade vulnerability + 30% FSI 2024 country risk + 20% ISB-derived commodity importance + 10% UNCTAD chokepoint weight,Low
TN_AGR_PHI,trade,Philippines,Agri,Agri,232.27,0.2,0.0003,0.2076,Indonesia,36.64,0.6483,Fund for Peace FSI 2024 (normalized /120),0.8247,Derived from ISB import value + HHI (2024),0.0,,,,,,0,0.3596,40% ISB trade vulnerability + 30% FSI 2024 country risk + 20% ISB-derived commodity importance + 10% UNCTAD chokepoint weight,Medium
