GLOBALEVENTID,SQLDATE,MonthYear,Year,FractionDate,Actor1Code,Actor1Name,Actor1CountryCode,Actor1KnownGroupCode,Actor1EthnicCode,Actor1Religion1Code,Actor1Religion2Code,Actor1Type1Code,Actor1Type2Code,Actor1Type3Code,Actor2Code,Actor2Name,Actor2CountryCode,Actor2KnownGroupCode,Actor2EthnicCode,Actor2Religion1Code,Actor2Religion2Code,Actor2Type1Code,Actor2Type2Code,Actor2Type3Code,IsRootEvent,EventCode,EventBaseCode,EventRootCode,QuadClass,GoldsteinScale,NumMentions,NumSources,NumArticles,AvgTone,Actor1Geo_Type,Actor1Geo_FullName,Actor1Geo_CountryCode,Actor1Geo_ADM1Code,Actor1Geo_Lat,Actor1Geo_Long,Actor1Geo_FeatureID,Actor1Geo_Extra,Actor2Geo_Type,Actor2Geo_FullName,Actor2Geo_CountryCode,Actor2Geo_ADM1Code,Actor2Geo_Lat,Actor2Geo_Long,Actor2Geo_FeatureID,Actor2Geo_Extra,ActionGeo_Type,ActionGeo_FullName,ActionGeo_CountryCode,ActionGeo_ADM1Code,ActionGeo_Lat,ActionGeo_Long,ActionGeo_FeatureID,DATEADDED,SOURCEURL,Extra60,country,event_category,event_date,goldstein_norm,cameo_weight,mention_norm,preliminary_severity,event_hash,matched_node_id,matched_sector
1306808507,20260601,202606,2026,2026.4137,USA,UNITED STATES,USA,,,,,,,,,,,,,,,,,,0,141,141,14,3,-6.5,2,1,2,0.18018018018018,3,"Evanston, Illinois, United States",US,USIL,IL031,42.0411,-87.6901,408101,0,,,,,,,,3,"Evanston, Illinois, United States",US,USIL,,42.0411,-87.6901,408101,20260601000000,https://www.northernpublicradio.org/illinois/2026-05-31/power-act-data-center-regulation-wont-move-forward-this-spring,United States,Protest/Strike,2026-06-01,0.825,0.5,0.159,0.5448,fa92833d96d8aca50e842d3f364b5090,,
1306808511,20260601,202606,2026,2026.4137,USA,THE US,USA,,,,,,,,,,,,,,,,,,0,172,172,17,4,-5.0,5,1,5,-3.94660475914104,4,"Jerusalem, Israel (general), Israel",IS,IS00,18315,31.7667,35.2333,-797092,0,,,,,,,,4,"Jerusalem, Israel (general), Israel",IS,IS00,18315.0,31.7667,35.2333,-797092,20260601000000,https://www.wsws.org/en/articles/2026/05/31/jqpu-m31.html,Israel,Coerce/Sanction,2026-06-01,0.75,0.7,0.2593,0.6098,2edcb153682e684173880714a29a43b9,TN_AGR_ISR,Agri
1306808515,20260601,202606,2026,2026.4137,USA,UNITED STATES,USA,,,,,,,,,,,,,,,,,,0,180,180,18,4,-9.0,2,1,2,-6.58914728682171,2,"California, United States",US,USCA,,36.17,-119.746,CA,0,,,,,,,,2,"California, United States",US,USCA,,36.17,-119.746,CA,20260601000000,https://nypost.com/2026/05/31/opinion/blood-on-their-hands-sanctuary-state-madness-must-end/,United States,Armed Assault,2026-06-01,0.95,0.85,0.159,0.7172,45fe4cca10158639d3499aaa7051be6d,,
1306808517,20260601,202606,2026,2026.4137,USA,UNITED STATES,USA,,,,,,,,,,,,,,,,,,1,192,192,19,4,-9.5,4,1,4,-0.60240963855421,3,"Colonial Country Club, Texas, United States",US,USTX,TX439,32.7176,-97.3767,1384343,0,,,,,,,,3,"Colonial Country Club, Texas, United States",US,USTX,,32.7176,-97.3767,1384343,20260601000000,https://www.thescore1260.com/2026/05/31/russell-henley-birdies-first-playoff-hole-wins-charles-schwab-challenge/,United States,Armed Conflict,2026-06-01,0.975,0.9,0.233,0.7633,72d5f98e17d59fe21da34c82d64af7dd,,
1306808521,20260601,202606,2026,2026.4137,USA,UNITED STATES,USA,,,,,,,,,,,,,,,,,,1,193,193,19,4,-10.0,4,1,4,-0.60240963855421,1,Colombia,CO,CO,,4,-72,CO,0,,,,,,,,1,Colombia,CO,CO,,4.0,-72,CO,20260601000000,https://www.thescore1260.com/2026/05/31/russell-henley-birdies-first-playoff-hole-wins-charles-schwab-challenge/,Colombia,Armed Conflict,2026-06-01,1.0,0.9,0.233,0.7733,1f50e96898342a0dd6e1a1412afd6116,,
1306808556,20260601,202606,2026,2026.4137,USA,UNITED STATES,USA,,,,,,,,CVL,COMMUNITY,,,,,,CVL,,,1,173,173,17,4,-5.0,4,1,4,-8.04597701149425,4,"Puna, Maharashtra, India",IN,IN16,70178,18.5333,73.8667,-2108361,4,"Puna, Maharashtra, India",IN,IN16,70178,18.5333,73.8667,-2108361,4,"Puna, Maharashtra, India",IN,IN16,70178.0,18.5333,73.8667,-2108361,20260601000000,https://www.click2houston.com/news/national/2026/05/31/man-charged-with-murder-in-killings-of-3-on-hawaiis-big-island/,India,Coerce/Sanction,2026-06-01,0.75,0.7,0.233,0.6033,0f35687b6ae50880687e3d1b9fca2ca6,,
1306808586,20260601,202606,2026,2026.4137,USA,WASHINGTON,USA,,,,,,,,IRN,IRAN,IRN,,,,,,,,0,194,194,19,4,-10.0,1,1,1,-1.92926045016077,4,"Tehran, Tehran, Iran",IR,IR26,41130,35.75,51.5148,10074674,4,"Tehran, Tehran, Iran",IR,IR26,41130,35.75,51.5148,10074674,4,"Tehran, Tehran, Iran",IR,IR26,41130.0,35.75,51.5148,10074674,20260601000000,https://www.sbs.com.au/news/article/iran-says-it-does-not-trust-the-us-after-trump-sends-back-peace-deal-with-amendments/txe8j3ynj,Iran,Armed Conflict,2026-06-01,1.0,0.9,0.1003,0.7401,883b9c6808b0db3562b70b10cba59b60,,
1306834096,20260502,202605,2026,2026.3342,AUS,NEW SOUTH WALES,AUS,,,,,,,,,,,,,,,,,,1,1712,171,17,4,-9.2,10,1,10,-0.584795321637429,4,"Redbridge, New South Wales, Australia",AS,AS02,5015,-34.4833,148.267,-1597009,0,,,,,,,,4,"Redbridge, New South Wales, Australia",AS,AS02,5015.0,-34.4833,148.267,-1597009,20260601060000,https://www.thejakartapost.com/world/2026/06/01/australias-far-right-party-leads-in-national-poll-for-first-time.html,Australia,Coerce/Sanction,2026-05-02,0.96,0.7,0.3471,0.7158,7011bf14e330d1001ca1c1ff91b0cdf5,TN_AGR_AUS,Agri
1306834097,20260525,202605,2026,2026.3973,AFR,AFRICA,AFR,,,,,,,,,,,,,,,,,,0,173,173,17,4,-5.0,2,1,2,-6.00600600600601,5,"Gauteng, Gauteng, South Africa",SF,SF06,77346,-26.0833,28.25,204226,0,,,,,,,,5,"Gauteng, Gauteng, South Africa",SF,SF06,77346.0,-26.0833,28.25,204226,20260601060000,https://www.citizen.co.za/news/south-africa/crime/crystal-meth-bust-diepsloot-suspect-arrested/,South Africa,Coerce/Sanction,2026-05-25,0.75,0.7,0.159,0.5848,0f81a5cb6cc14ea7502e430616ea90e3,,
1306834117,20260601,202606,2026,2026.4137,,,,,,,,,,,CVL,SETTLEMENT,,,,,,CVL,,,0,1712,171,17,4,-9.2,5,1,5,-5.78313253012048,0,,,,,,,,4,"Tshwane, Limpopo, South Africa",SF,SF09,77345,-25.1797,28.1135,-1292416,4,"Tshwane, Limpopo, South Africa",SF,SF09,77345.0,-25.1797,28.1135,-1292416,20260601060000,https://www.citizen.co.za/news/south-africa/teen-dies-as-more-than-200-shacks-razed-in-two-plastic-view-fires-in-under-a-week/,South Africa,Coerce/Sanction,2026-06-01,0.96,0.7,0.2593,0.6938,2b1f6e8cfc73eea022f461d1cf44f7cc,,
