node_id,snapshot_date,disruption_prob,severity_pred,risk_tier,country,sector,commodity,static_risk_score,lat,lon,insight_text
TN_AGR_BOS,2026-06-08,0.3007,4.0,Medium,Bosnia and Herzegovina,Agri,Agri,0.3457,,,
TN_AGR_CRO,2026-06-08,0.3007,4.0,Medium,Croatia,Agri,Agri,0.2867,,,
TN_AGR_CYP,2026-06-08,0.3007,4.0,Medium,Cyprus,Agri,Agri,0.3074,,,
TN_AGR_CZE,2026-06-08,0.3007,4.0,Medium,Czechia,Agri,Agri,0.3502,,,
TN_AGR_DEM,2026-06-08,0.3007,4.0,Medium,Democratic People's Republic of Korea,Agri,Agri,0.3502,,,
TN_AGR_FIJ,2026-06-08,0.3007,4.0,Medium,Fiji,Agri,Agri,0.3404,,,
TN_AGR_GEO,2026-06-08,0.3007,4.0,Medium,Georgia,Agri,Agri,0.3447,,,
TN_AGR_GIB,2026-06-08,0.3007,4.0,Medium,Gibraltar,Agri,Agri,0.3502,,,
TN_AGR_ICE,2026-06-08,0.3007,4.0,Medium,Iceland,Agri,Agri,0.2042,,,
TN_AGR_ISL,2026-06-08,0.3007,4.0,Medium,Islamic Republic of Iran,Agri,Agri,0.3502,,,
TN_AGR_KAZ,2026-06-08,0.3007,4.0,Medium,Kazakhstan,Agri,Agri,0.3164,,,
TN_AGR_KYR,2026-06-08,0.3007,4.0,Medium,Kyrgyzstan,Agri,Agri,0.3502,,,
TN_AGR_LAO,2026-06-08,0.3007,4.0,Medium,Lao People's Democratic Republic,Agri,Agri,0.3502,,,
TN_AGR_LUX,2026-06-08,0.3007,4.0,Medium,Luxembourg,Agri,Agri,0.2137,,,
TN_AGR_MON,2026-06-08,0.3007,4.0,Medium,Montenegro,Agri,Agri,0.3099,,,
TN_AGR_NET,2026-06-08,0.3007,4.0,Medium,Netherlands Antilles,Agri,Agri,0.3502,,,
TN_AGR_OMA,2026-06-08,0.3007,4.0,Medium,Oman,Agri,Agri,0.2867,,,
TN_AGR_PIT,2026-06-08,0.3007,4.0,Medium,Pitcairn,Agri,Agri,0.3502,,,
TN_AGR_SLO,2026-06-08,0.3007,4.0,Medium,Slovakia,Agri,Agri,0.3502,,,
TN_AGR_SOL,2026-06-08,0.3007,4.0,Medium,Solomon Islands,Agri,Agri,0.3639,,,
TN_AGR_SYR,2026-06-08,0.3007,4.0,Medium,Syrian Arab Republic,Agri,Agri,0.3502,,,
TN_AGR_TÜR,2026-06-08,0.3007,4.0,Medium,Türkiye,Agri,Agri,0.3502,,,
TN_AGR_UZB,2026-06-08,0.3007,4.0,Medium,Uzbekistan,Agri,Agri,0.3319,,,
TN_AGR_VAN,2026-06-08,0.3007,4.0,Medium,Vanuatu,Agri,Agri,0.3502,,,
TN_AUT_CHI,2026-06-08,0.3007,4.0,Medium,China,Automotive,Automotive,0.3996,,,
TN_AUT_GER,2026-06-08,0.3007,4.0,Medium,Germany,Automotive,Automotive,0.2097,,,
TN_AUT_REP,2026-06-08,0.3007,4.0,Medium,Republic of Korea,Automotive,Automotive,0.3325,,,
TN_AUT_JAP,2026-06-08,0.3007,4.0,Medium,Japan,Automotive,Automotive,0.2221,,,
TN_AUT_THA,2026-06-08,0.3007,4.0,Medium,Thailand,Automotive,Automotive,0.3133,,,
TN_AUT_IND,2026-06-08,0.3007,4.0,Medium,Indonesia,Automotive,Automotive,0.3053,,,
TN_AUT_SIN,2026-06-08,0.3007,4.0,Medium,Singapore,Automotive,Automotive,0.2047,,,
TN_AUT_UNI,2026-06-08,0.3007,4.0,Medium,United Kingdom of Great Britain and Northern Ireland,Automotive,Automotive,0.3255,,,
TN_AUT_SWE,2026-06-08,0.3007,4.0,Medium,Sweden,Automotive,Automotive,0.1917,,,
TN_AUT_ITA,2026-06-08,0.3007,4.0,Medium,Italy,Automotive,Automotive,0.2466,,,
TN_AUT_CZE,2026-06-08,0.3007,4.0,Medium,Czechia,Automotive,Automotive,0.3252,,,
TN_AUT_BEL,2026-06-08,0.3007,4.0,Medium,Belarus,Automotive,Automotive,0.3135,,,
TN_AUT_VIE,2026-06-08,0.3007,4.0,Medium,Viet Nam,Automotive,Automotive,0.3246,,,
TN_AUT_SPA,2026-06-08,0.3007,4.0,Medium,Spain,Automotive,Automotive,0.2481,,,
TN_AUT_FRA,2026-06-08,0.3007,4.0,Medium,France,Automotive,Automotive,0.2113,,,
