source_node_id,target_node_id,edge_type,weight
CP_003,TN_ENE_GEO,chokepoint_dependency,0.4219
CP_003,TN_ENE_GIB,chokepoint_dependency,0.4219
CP_003,TN_ENE_HUN,chokepoint_dependency,0.4219
CP_003,TN_ENE_ICE,chokepoint_dependency,0.4219
CP_003,TN_ENE_IRE,chokepoint_dependency,0.4219
CP_003,TN_ENE_ISR,chokepoint_dependency,0.4219
CP_003,TN_ENE_ITA,chokepoint_dependency,0.4219
CP_003,TN_ENE_JOR,chokepoint_dependency,0.4219
CP_003,TN_ENE_KYR,chokepoint_dependency,0.4219
CP_003,TN_ENE_LAO,chokepoint_dependency,0.4219
CP_003,TN_ENE_LAT,chokepoint_dependency,0.4219
CP_003,TN_ENE_LEB,chokepoint_dependency,0.4219
CP_003,TN_ENE_LIE,chokepoint_dependency,0.4219
CP_003,TN_ENE_LIT,chokepoint_dependency,0.4219
CP_003,TN_ENE_LUX,chokepoint_dependency,0.4219
CP_003,TN_ENE_MAC,chokepoint_dependency,0.4219
CP_003,TN_ENE_MAR,chokepoint_dependency,0.4219
CP_003,TN_ENE_MON,chokepoint_dependency,0.4219
CP_003,TN_ENE_MYA,chokepoint_dependency,0.4219
CP_003,TN_ENE_NEP,chokepoint_dependency,0.4219
CP_003,TN_ENE_NET,chokepoint_dependency,0.4219
CP_003,TN_ENE_PAL,chokepoint_dependency,0.4219
CP_003,TN_ENE_PAP,chokepoint_dependency,0.4219
CP_003,TN_ENE_PHI,chokepoint_dependency,0.4219
CP_003,TN_ENE_PIT,chokepoint_dependency,0.4219
CP_003,TN_ENE_POR,chokepoint_dependency,0.4219
CP_003,TN_ENE_ROM,chokepoint_dependency,0.4219
CP_003,TN_ENE_SER,chokepoint_dependency,0.4219
CP_003,TN_ENE_SLO,chokepoint_dependency,0.4219
CP_003,TN_ENE_SOL,chokepoint_dependency,0.4219
CP_003,TN_ENE_SRI,chokepoint_dependency,0.4219
CP_003,TN_ENE_SWE,chokepoint_dependency,0.4219
CP_003,TN_ENE_TAJ,chokepoint_dependency,0.4219
CP_003,TN_ENE_TUV,chokepoint_dependency,0.4219
CP_003,TN_ENE_TÜR,chokepoint_dependency,0.4219
CP_003,TN_ENE_UKR,chokepoint_dependency,0.4219
CP_003,TN_ENE_UZB,chokepoint_dependency,0.4219
CP_003,TN_ENE_VIE,chokepoint_dependency,0.4219
CP_003,TN_ENE_YEM,chokepoint_dependency,0.4219
CP_004,TN_MAN_CHI,chokepoint_dependency,0.1055
CP_004,TN_MAN_GER,chokepoint_dependency,0.1055
CP_004,TN_MAN_JAP,chokepoint_dependency,0.1055
CP_004,TN_MAN_SIN,chokepoint_dependency,0.1055
CP_004,TN_MAN_MAL,chokepoint_dependency,0.1055
CP_004,TN_MAN_REP,chokepoint_dependency,0.1055
CP_004,TN_MAN_ITA,chokepoint_dependency,0.1055
CP_004,TN_MAN_THA,chokepoint_dependency,0.1055
CP_004,TN_MAN_HON,chokepoint_dependency,0.1055
CP_004,TN_MAN_UNI,chokepoint_dependency,0.1055
CP_004,TN_MAN_TAI,chokepoint_dependency,0.1055
CP_004,TN_MAN_FRA,chokepoint_dependency,0.1055
CP_004,TN_MAN_BEL,chokepoint_dependency,0.1055
CP_004,TN_MAN_KIN,chokepoint_dependency,0.1055
